"Date","Time (GMT)","Predicted (ft)","Preliminary (ft)","Verified (ft)"
"2011/08/20","14:36","1.445","-","1.89"
"2011/08/20","14:42","1.495","-","1.96"
"2011/08/20","14:48","1.546","-","2"
"2011/08/20","14:54","1.597","-","2.04"
"2011/08/20","15:00","1.648","-","2.08"
"2011/08/20","15:06","1.699","-","2.14"
"2011/08/20","15:12","1.75","-","2.17"
"2011/08/20","15:18","1.8","-","2.19"
"2011/08/20","15:24","1.85","-","2.23"
"2011/08/20","15:30","1.899","-","2.25"
"2011/08/20","15:36","1.947","-","2.3"
"2011/08/20","15:42","1.994","-","2.34"
"2011/08/20","15:48","2.04","-","2.38"
"2011/08/20","15:54","2.084","-","2.42"
"2011/08/20","16:00","2.128","-","2.46"
"2011/08/20","16:06","2.169","-","2.51"
"2011/08/20","16:12","2.21","-","2.55"
"2011/08/20","16:18","2.249","-","2.61"
"2011/08/20","16:24","2.287","-","2.67"
"2011/08/20","16:30","2.323","-","2.72"
"2011/08/20","16:36","2.358","-","2.75"
"2011/08/20","16:42","2.392","-","2.77"
"2011/08/20","16:48","2.424","-","2.8"
"2011/08/20","16:54","2.456","-","2.83"
"2011/08/20","17:00","2.486","-","2.84"
"2011/08/20","17:06","2.516","-","2.87"
"2011/08/20","17:12","2.544","-","2.88"
"2011/08/20","17:18","2.572","-","2.92"
"2011/08/20","17:24","2.598","-","2.94"
"2011/08/20","17:30","2.624","-","2.98"
"2011/08/20","17:36","2.648","-","3.02"
"2011/08/20","17:42","2.672","-","3.06"
"2011/08/20","17:48","2.695","-","3.1"
"2011/08/20","17:54","2.716","-","3.15"
"2011/08/20","18:00","2.736","-","3.19"
"2011/08/20","18:06","2.755","-","3.2"
"2011/08/20","18:12","2.772","-","3.24"
"2011/08/20","18:18","2.788","-","3.26"
"2011/08/20","18:24","2.802","-","3.26"
"2011/08/20","18:30","2.814","-","3.25"
"2011/08/20","18:36","2.823","-","3.24"
"2011/08/20","18:42","2.831","-","3.25"
"2011/08/20","18:48","2.836","-","3.23"
"2011/08/20","18:54","2.839","-","3.2"
"2011/08/20","19:00","2.839","-","3.18"
"2011/08/20","19:06","2.836","-","3.2"
"2011/08/20","19:12","2.831","-","3.2"
"2011/08/20","19:18","2.822","-","3.21"
"2011/08/20","19:24","2.811","-","3.19"
"2011/08/20","19:30","2.797","-","3.19"
"2011/08/20","19:36","2.78","-","3.17"
"2011/08/20","19:42","2.76","-","3.14"
"2011/08/20","19:48","2.737","-","3.11"
"2011/08/20","19:54","2.711","-","3.08"
"2011/08/20","20:00","2.683","-","3.02"
"2011/08/20","20:06","2.653","-","2.99"
"2011/08/20","20:12","2.621","-","2.94"
"2011/08/20","20:18","2.586","-","2.92"
"2011/08/20","20:24","2.55","-","2.88"
"2011/08/20","20:30","2.512","-","2.86"
"2011/08/20","20:36","2.472","-","2.82"
"2011/08/20","20:42","2.432","-","2.79"
"2011/08/20","20:48","2.39","-","2.73"
"2011/08/20","20:54","2.348","-","2.69"
"2011/08/20","21:00","2.306","-","2.66"
"2011/08/20","21:06","2.263","-","2.62"
"2011/08/20","21:12","2.219","-","2.56"
"2011/08/20","21:18","2.176","-","2.53"
"2011/08/20","21:24","2.133","-","2.49"
"2011/08/20","21:30","2.09","-","2.48"
"2011/08/20","21:36","2.047","-","2.46"
"2011/08/20","21:42","2.005","-","2.42"
"2011/08/20","21:48","1.963","-","2.37"
"2011/08/20","21:54","1.921","-","2.33"
"2011/08/20","22:00","1.88","-","2.29"
"2011/08/20","22:06","1.838","-","2.24"
"2011/08/20","22:12","1.798","-","2.21"
"2011/08/20","22:18","1.757","-","2.16"
"2011/08/20","22:24","1.716","-","2.11"
"2011/08/20","22:30","1.676","-","2.07"
"2011/08/20","22:36","1.636","-","2.01"
"2011/08/20","22:42","1.596","-","1.97"
"2011/08/20","22:48","1.555","-","1.93"
"2011/08/20","22:54","1.515","-","1.89"
"2011/08/20","23:00","1.474","-","1.85"
"2011/08/20","23:06","1.434","-","1.81"
"2011/08/20","23:12","1.393","-","1.78"
"2011/08/20","23:18","1.353","-","1.74"
"2011/08/20","23:24","1.312","-","1.71"
"2011/08/20","23:30","1.271","-","1.66"
"2011/08/20","23:36","1.231","-","1.61"
"2011/08/20","23:42","1.191","-","1.57"
"2011/08/20","23:48","1.152","-","1.52"
"2011/08/20","23:54","1.113","-","1.48"
"2011/08/21","00:00","1.074","-","1.43"
"2011/08/21","00:06","1.037","-","1.4"
"2011/08/21","00:12","1.001","-","1.39"
"2011/08/21","00:18","0.966","-","1.35"
"2011/08/21","00:24","0.933","-","1.32"
"2011/08/21","00:30","0.901","-","1.3"
"2011/08/21","00:36","0.872","-","1.29"
"2011/08/21","00:42","0.844","-","1.26"
"2011/08/21","00:48","0.819","-","1.23"
"2011/08/21","00:54","0.797","-","1.2"
"2011/08/21","01:00","0.777","-","1.17"
"2011/08/21","01:06","0.76","-","1.14"
"2011/08/21","01:12","0.746","-","1.11"
"2011/08/21","01:18","0.736","-","1.08"
"2011/08/21","01:24","0.728","-","1.05"
"2011/08/21","01:30","0.724","-","1.03"
"2011/08/21","01:36","0.723","-","1.04"
"2011/08/21","01:42","0.725","-","1.03"
"2011/08/21","01:48","0.731","-","1.06"
"2011/08/21","01:54","0.741","-","1.07"
"2011/08/21","02:00","0.753","-","1.1"
"2011/08/21","02:06","0.769","-","1.12"
"2011/08/21","02:12","0.788","-","1.15"
"2011/08/21","02:18","0.81","-","1.19"
"2011/08/21","02:24","0.835","-","1.23"
"2011/08/21","02:30","0.863","-","1.26"
"2011/08/21","02:36","0.893","-","1.26"
"2011/08/21","02:42","0.926","-","1.31"
"2011/08/21","02:48","0.96","-","1.35"
"2011/08/21","02:54","0.997","-","1.37"
"2011/08/21","03:00","1.035","-","1.37"
"2011/08/21","03:06","1.075","-","1.4"
"2011/08/21","03:12","1.116","-","1.43"
"2011/08/21","03:18","1.158","-","1.48"
"2011/08/21","03:24","1.201","-","1.52"
"2011/08/21","03:30","1.244","-","1.57"
"2011/08/21","03:36","1.287","-","1.65"
"2011/08/21","03:42","1.33","-","1.7"
"2011/08/21","03:48","1.374","-","1.76"
"2011/08/21","03:54","1.416","-","1.82"
"2011/08/21","04:00","1.459","-","1.87"
"2011/08/21","04:06","1.5","-","1.91"
"2011/08/21","04:12","1.541","-","1.96"
"2011/08/21","04:18","1.581","-","1.98"
"2011/08/21","04:24","1.62","-","2.01"
"2011/08/21","04:30","1.658","-","2.03"
"2011/08/21","04:36","1.695","-","2.06"
"2011/08/21","04:42","1.731","-","2.1"
"2011/08/21","04:48","1.765","-","2.1"
"2011/08/21","04:54","1.798","-","2.13"
"2011/08/21","05:00","1.831","-","2.18"
"2011/08/21","05:06","1.862","-","2.22"
"2011/08/21","05:12","1.892","-","2.26"
"2011/08/21","05:18","1.921","-","2.29"
"2011/08/21","05:24","1.949","-","2.35"
"2011/08/21","05:30","1.976","-","2.41"
"2011/08/21","05:36","2.002","-","2.43"
"2011/08/21","05:42","2.027","-","2.45"
"2011/08/21","05:48","2.051","-","2.45"
"2011/08/21","05:54","2.074","-","2.48"
"2011/08/21","06:00","2.096","-","2.5"
"2011/08/21","06:06","2.118","-","2.5"
"2011/08/21","06:12","2.138","-","2.51"
"2011/08/21","06:18","2.157","-","2.51"
"2011/08/21","06:24","2.175","-","2.51"
"2011/08/21","06:30","2.192","-","2.53"
"2011/08/21","06:36","2.207","-","2.56"
"2011/08/21","06:42","2.22","-","2.6"
"2011/08/21","06:48","2.232","-","2.63"
"2011/08/21","06:54","2.243","-","2.64"
"2011/08/21","07:00","2.251","-","2.66"
"2011/08/21","07:06","2.257","-","2.66"
"2011/08/21","07:12","2.261","-","2.65"
"2011/08/21","07:18","2.263","-","2.63"
"2011/08/21","07:24","2.262","-","2.62"
"2011/08/21","07:30","2.259","-","2.59"
"2011/08/21","07:36","2.253","-","2.57"
"2011/08/21","07:42","2.245","-","2.56"
"2011/08/21","07:48","2.234","-","2.54"
"2011/08/21","07:54","2.221","-","2.51"
"2011/08/21","08:00","2.205","-","2.5"
"2011/08/21","08:06","2.186","-","2.49"
"2011/08/21","08:12","2.165","-","2.48"
"2011/08/21","08:18","2.142","-","2.46"
"2011/08/21","08:24","2.117","-","2.44"
"2011/08/21","08:30","2.09","-","2.42"
"2011/08/21","08:36","2.061","-","2.4"
"2011/08/21","08:42","2.031","-","2.37"
"2011/08/21","08:48","1.999","-","2.32"
"2011/08/21","08:54","1.966","-","2.28"
"2011/08/21","09:00","1.932","-","2.25"
"2011/08/21","09:06","1.898","-","2.22"
"2011/08/21","09:12","1.863","-","2.19"
"2011/08/21","09:18","1.828","-","2.15"
"2011/08/21","09:24","1.793","-","2.13"
"2011/08/21","09:30","1.758","-","2.13"
"2011/08/21","09:36","1.723","-","2.1"
"2011/08/21","09:42","1.689","-","2.09"
"2011/08/21","09:48","1.656","-","2.06"
"2011/08/21","09:54","1.623","-","2.02"
"2011/08/21","10:00","1.591","-","2.01"
"2011/08/21","10:06","1.56","-","1.99"
"2011/08/21","10:12","1.53","-","1.95"
"2011/08/21","10:18","1.501","-","1.89"
"2011/08/21","10:24","1.472","-","1.84"
"2011/08/21","10:30","1.445","-","1.81"
"2011/08/21","10:36","1.418","-","1.79"
"2011/08/21","10:42","1.392","-","1.75"
"2011/08/21","10:48","1.367","-","1.74"
"2011/08/21","10:54","1.343","-","1.73"
"2011/08/21","11:00","1.319","-","1.71"
"2011/08/21","11:06","1.296","-","1.7"
"2011/08/21","11:12","1.273","-","1.66"
"2011/08/21","11:18","1.25","-","1.64"
"2011/08/21","11:24","1.228","-","1.61"
"2011/08/21","11:30","1.207","-","1.58"
"2011/08/21","11:36","1.185","-","1.55"
"2011/08/21","11:42","1.165","-","1.51"
"2011/08/21","11:48","1.144","-","1.46"
"2011/08/21","11:54","1.124","-","1.44"
"2011/08/21","12:00","1.104","-","1.4"
"2011/08/21","12:06","1.085","-","1.38"
"2011/08/21","12:12","1.067","-","1.37"
"2011/08/21","12:18","1.049","-","1.34"
"2011/08/21","12:24","1.032","-","1.34"
"2011/08/21","12:30","1.017","-","1.33"
"2011/08/21","12:36","1.002","-","1.32"
"2011/08/21","12:42","0.989","-","1.31"
"2011/08/21","12:48","0.977","-","1.32"
"2011/08/21","12:54","0.967","-","1.31"
"2011/08/21","13:00","0.959","-","1.31"
"2011/08/21","13:06","0.952","-","1.3"
"2011/08/21","13:12","0.948","-","1.3"
"2011/08/21","13:18","0.946","-","1.3"
"2011/08/21","13:24","0.946","-","1.31"
"2011/08/21","13:30","0.949","-","1.3"
"2011/08/21","13:36","0.954","-","1.32"
"2011/08/21","13:42","0.962","-","1.33"
"2011/08/21","13:48","0.973","-","1.32"
"2011/08/21","13:54","0.986","-","1.3"
"2011/08/21","14:00","1.002","-","1.3"
"2011/08/21","14:06","1.021","-","1.33"
"2011/08/21","14:12","1.043","-","1.36"
"2011/08/21","14:18","1.067","-","1.38"
"2011/08/21","14:24","1.094","-","1.4"
"2011/08/21","14:30","1.124","-","1.43"
"2011/08/21","14:36","1.156","-","1.46"
"2011/08/21","14:42","1.191","-","1.49"
"2011/08/21","14:48","1.227","-","1.54"
"2011/08/21","14:54","1.266","-","1.58"
"2011/08/21","15:00","1.307","-","1.61"
"2011/08/21","15:06","1.349","-","1.64"
"2011/08/21","15:12","1.393","-","1.69"
"2011/08/21","15:18","1.438","-","1.72"
"2011/08/21","15:24","1.484","-","1.74"
"2011/08/21","15:30","1.531","-","1.8"
"2011/08/21","15:36","1.579","-","1.85"
"2011/08/21","15:42","1.627","-","1.88"
"2011/08/21","15:48","1.675","-","1.94"
"2011/08/21","15:54","1.723","-","2"
"2011/08/21","16:00","1.771","-","2.07"
"2011/08/21","16:06","1.818","-","2.12"
"2011/08/21","16:12","1.865","-","2.17"
"2011/08/21","16:18","1.911","-","2.24"
"2011/08/21","16:24","1.956","-","2.31"
"2011/08/21","16:30","2","-","2.35"
"2011/08/21","16:36","2.043","-","2.4"
"2011/08/21","16:42","2.084","-","2.43"
"2011/08/21","16:48","2.125","-","2.47"
"2011/08/21","16:54","2.164","-","2.49"
"2011/08/21","17:00","2.201","-","2.53"
"2011/08/21","17:06","2.237","-","2.59"
"2011/08/21","17:12","2.272","-","2.63"
"2011/08/21","17:18","2.306","-","2.68"
"2011/08/21","17:24","2.338","-","2.73"
"2011/08/21","17:30","2.369","-","2.79"
"2011/08/21","17:36","2.398","-","2.86"
"2011/08/21","17:42","2.427","-","2.9"
"2011/08/21","17:48","2.455","-","2.93"
"2011/08/21","17:54","2.481","-","2.98"
"2011/08/21","18:00","2.507","-","3.01"
"2011/08/21","18:06","2.532","-","3.03"
"2011/08/21","18:12","2.556","-","3.08"
"2011/08/21","18:18","2.579","-","3.06"
"2011/08/21","18:24","2.601","-","3.07"
"2011/08/21","18:30","2.623","-","3.1"
"2011/08/21","18:36","2.643","-","3.11"
"2011/08/21","18:42","2.663","-","3.15"
"2011/08/21","18:48","2.681","-","3.21"
"2011/08/21","18:54","2.699","-","3.2"
"2011/08/21","19:00","2.715","-","3.25"
"2011/08/21","19:06","2.73","-","3.27"
"2011/08/21","19:12","2.744","-","3.25"
"2011/08/21","19:18","2.756","-","3.3"
"2011/08/21","19:24","2.766","-","3.31"
"2011/08/21","19:30","2.775","-","3.29"
"2011/08/21","19:36","2.781","-","3.27"
"2011/08/21","19:42","2.786","-","3.27"
"2011/08/21","19:48","2.788","-","3.25"
"2011/08/21","19:54","2.788","-","3.26"
"2011/08/21","20:00","2.785","-","3.22"
"2011/08/21","20:06","2.78","-","3.18"
"2011/08/21","20:12","2.772","-","3.22"
"2011/08/21","20:18","2.762","-","3.18"
"2011/08/21","20:24","2.749","-","3.14"
"2011/08/21","20:30","2.733","-","3.16"
"2011/08/21","20:36","2.715","-","3.15"
"2011/08/21","20:42","2.695","-","3.1"
"2011/08/21","20:48","2.672","-","3.08"
"2011/08/21","20:54","2.646","-","3.03"
"2011/08/21","21:00","2.619","-","3.01"
"2011/08/21","21:06","2.589","-","2.95"
"2011/08/21","21:12","2.558","-","2.93"
"2011/08/21","21:18","2.525","-","2.9"
"2011/08/21","21:24","2.491","-","2.9"
"2011/08/21","21:30","2.455","-","2.83"
"2011/08/21","21:36","2.418","-","2.81"
"2011/08/21","21:42","2.38","-","2.79"
"2011/08/21","21:48","2.342","-","2.78"
"2011/08/21","21:54","2.303","-","2.75"
"2011/08/21","22:00","2.263","-","2.74"
"2011/08/21","22:06","2.223","-","2.72"
"2011/08/21","22:12","2.182","-","2.71"
"2011/08/21","22:18","2.142","-","2.7"
"2011/08/21","22:24","2.102","-","2.64"
"2011/08/21","22:30","2.061","-","2.6"
"2011/08/21","22:36","2.02","-","2.57"
"2011/08/21","22:42","1.98","-","2.53"
"2011/08/21","22:48","1.94","-","2.53"
"2011/08/21","22:54","1.899","-","2.51"
"2011/08/21","23:00","1.859","-","2.48"
"2011/08/21","23:06","1.818","-","2.45"
"2011/08/21","23:12","1.778","-","2.42"
"2011/08/21","23:18","1.737","-","2.36"
"2011/08/21","23:24","1.697","-","2.31"
"2011/08/21","23:30","1.656","-","2.25"
"2011/08/21","23:36","1.615","-","2.21"
"2011/08/21","23:42","1.574","-","2.17"
"2011/08/21","23:48","1.532","-","2.14"
"2011/08/21","23:54","1.491","-","2.08"
"2011/08/22","00:00","1.449","-","2.06"
"2011/08/22","00:06","1.407","-","2.02"
"2011/08/22","00:12","1.365","-","1.95"
"2011/08/22","00:18","1.324","-","1.92"
"2011/08/22","00:24","1.282","-","1.86"
"2011/08/22","00:30","1.24","-","1.81"
"2011/08/22","00:36","1.2","-","1.79"
"2011/08/22","00:42","1.159","-","1.75"
"2011/08/22","00:48","1.119","-","1.69"
"2011/08/22","00:54","1.081","-","1.65"
"2011/08/22","01:00","1.043","-","1.59"
"2011/08/22","01:06","1.006","-","1.54"
"2011/08/22","01:12","0.971","-","1.5"
"2011/08/22","01:18","0.938","-","1.44"
"2011/08/22","01:24","0.907","-","1.44"
"2011/08/22","01:30","0.877","-","1.42"
"2011/08/22","01:36","0.85","-","1.41"
"2011/08/22","01:42","0.826","-","1.38"
"2011/08/22","01:48","0.804","-","1.37"
"2011/08/22","01:54","0.784","-","1.37"
"2011/08/22","02:00","0.768","-","1.33"
"2011/08/22","02:06","0.755","-","1.32"
"2011/08/22","02:12","0.744","-","1.3"
"2011/08/22","02:18","0.737","-","1.29"
"2011/08/22","02:24","0.734","-","1.29"
"2011/08/22","02:30","0.733","-","1.28"
"2011/08/22","02:36","0.736","-","1.31"
"2011/08/22","02:42","0.743","-","1.34"
"2011/08/22","02:48","0.752","-","1.33"
"2011/08/22","02:54","0.765","-","1.33"
"2011/08/22","03:00","0.781","-","1.38"
"2011/08/22","03:06","0.8","-","1.39"
"2011/08/22","03:12","0.822","-","1.45"
"2011/08/22","03:18","0.846","-","1.51"
"2011/08/22","03:24","0.874","-","1.56"
"2011/08/22","03:30","0.904","-","1.58"
"2011/08/22","03:36","0.935","-","1.63"
"2011/08/22","03:42","0.969","-","1.63"
"2011/08/22","03:48","1.005","-","1.62"
"2011/08/22","03:54","1.043","-","1.63"
"2011/08/22","04:00","1.081","-","1.66"
"2011/08/22","04:06","1.121","-","1.68"
"2011/08/22","04:12","1.161","-","1.73"
"2011/08/22","04:18","1.203","-","1.79"
"2011/08/22","04:24","1.244","-","1.84"
"2011/08/22","04:30","1.286","-","1.87"
"2011/08/22","04:36","1.327","-","1.9"
"2011/08/22","04:42","1.369","-","1.99"
"2011/08/22","04:48","1.409","-","2.08"
"2011/08/22","04:54","1.45","-","2.13"
"2011/08/22","05:00","1.489","-","2.24"
"2011/08/22","05:06","1.528","-","2.3"
"2011/08/22","05:12","1.566","-","2.44"
"2011/08/22","05:18","1.602","-","2.52"
"2011/08/22","05:24","1.638","-","2.53"
"2011/08/22","05:30","1.672","-","2.61"
"2011/08/22","05:36","1.705","-","2.65"
"2011/08/22","05:42","1.737","-","2.63"
"2011/08/22","05:48","1.768","-","2.68"
"2011/08/22","05:54","1.798","-","2.77"
"2011/08/22","06:00","1.827","-","2.8"
"2011/08/22","06:06","1.854","-","2.73"
"2011/08/22","06:12","1.881","-","2.75"
"2011/08/22","06:18","1.906","-","2.73"
"2011/08/22","06:24","1.931","-","2.71"
"2011/08/22","06:30","1.955","-","2.71"
"2011/08/22","06:36","1.978","-","2.66"
"2011/08/22","06:42","2","-","2.7"
"2011/08/22","06:48","2.022","-","2.8"
"2011/08/22","06:54","2.042","-","2.86"
"2011/08/22","07:00","2.062","-","2.88"
"2011/08/22","07:06","2.08","-","2.9"
"2011/08/22","07:12","2.098","-","2.9"
"2011/08/22","07:18","2.115","-","2.93"
"2011/08/22","07:24","2.131","-","2.96"
"2011/08/22","07:30","2.145","-","2.91"
"2011/08/22","07:36","2.158","-","2.86"
"2011/08/22","07:42","2.17","-","2.85"
"2011/08/22","07:48","2.18","-","2.84"
"2011/08/22","07:54","2.189","-","2.82"
"2011/08/22","08:00","2.196","-","2.83"
"2011/08/22","08:06","2.2","-","2.78"
"2011/08/22","08:12","2.203","-","2.78"
"2011/08/22","08:18","2.204","-","2.84"
"2011/08/22","08:24","2.202","-","2.84"
"2011/08/22","08:30","2.198","-","2.87"
"2011/08/22","08:36","2.192","-","2.89"
"2011/08/22","08:42","2.184","-","2.88"
"2011/08/22","08:48","2.173","-","2.83"
"2011/08/22","08:54","2.159","-","2.82"
"2011/08/22","09:00","2.144","-","2.8"
"2011/08/22","09:06","2.126","-","2.8"
"2011/08/22","09:12","2.106","-","2.76"
"2011/08/22","09:18","2.084","-","2.7"
"2011/08/22","09:24","2.061","-","2.69"
"2011/08/22","09:30","2.036","-","2.66"
"2011/08/22","09:36","2.009","-","2.63"
"2011/08/22","09:42","1.981","-","2.58"
"2011/08/22","09:48","1.952","-","2.58"
"2011/08/22","09:54","1.922","-","2.57"
"2011/08/22","10:00","1.891","-","2.57"
"2011/08/22","10:06","1.86","-","2.54"
"2011/08/22","10:12","1.828","-","2.49"
"2011/08/22","10:18","1.796","-","2.48"
"2011/08/22","10:24","1.764","-","2.45"
"2011/08/22","10:30","1.733","-","2.39"
"2011/08/22","10:36","1.702","-","2.33"
"2011/08/22","10:42","1.671","-","2.24"
"2011/08/22","10:48","1.64","-","2.19"
"2011/08/22","10:54","1.611","-","2.14"
"2011/08/22","11:00","1.581","-","2.09"
"2011/08/22","11:06","1.553","-","2.03"
"2011/08/22","11:12","1.525","-","1.99"
"2011/08/22","11:18","1.498","-","1.95"
"2011/08/22","11:24","1.471","-","1.9"
"2011/08/22","11:30","1.446","-","1.87"
"2011/08/22","11:36","1.42","-","1.84"
"2011/08/22","11:42","1.396","-","1.79"
"2011/08/22","11:48","1.371","-","1.76"
"2011/08/22","11:54","1.348","-","1.72"
"2011/08/22","12:00","1.324","-","1.66"
"2011/08/22","12:06","1.301","-","1.62"
"2011/08/22","12:12","1.279","-","1.59"
"2011/08/22","12:18","1.257","-","1.6"
"2011/08/22","12:24","1.235","-","1.52"
"2011/08/22","12:30","1.213","-","1.49"
"2011/08/22","12:36","1.192","-","1.48"
"2011/08/22","12:42","1.171","-","1.47"
"2011/08/22","12:48","1.151","-","1.45"
"2011/08/22","12:54","1.131","-","1.44"
"2011/08/22","13:00","1.112","-","1.43"
"2011/08/22","13:06","1.093","-","1.41"
"2011/08/22","13:12","1.075","-","1.4"
"2011/08/22","13:18","1.059","-","1.38"
"2011/08/22","13:24","1.043","-","1.36"
"2011/08/22","13:30","1.029","-","1.35"
"2011/08/22","13:36","1.016","-","1.31"
"2011/08/22","13:42","1.004","-","1.29"
"2011/08/22","13:48","0.994","-","1.25"
"2011/08/22","13:54","0.986","-","1.24"
"2011/08/22","14:00","0.98","-","1.23"
"2011/08/22","14:06","0.976","-","1.19"
"2011/08/22","14:12","0.975","-","1.18"
"2011/08/22","14:18","0.975","-","1.17"
"2011/08/22","14:24","0.979","-","1.15"
"2011/08/22","14:30","0.984","-","1.18"
"2011/08/22","14:36","0.993","-","1.18"
"2011/08/22","14:42","1.004","-","1.2"
"2011/08/22","14:48","1.018","-","1.2"
"2011/08/22","14:54","1.034","-","1.22"
"2011/08/22","15:00","1.053","-","1.24"
"2011/08/22","15:06","1.075","-","1.24"
"2011/08/22","15:12","1.1","-","1.25"
"2011/08/22","15:18","1.127","-","1.26"
"2011/08/22","15:24","1.157","-","1.29"
"2011/08/22","15:30","1.19","-","1.33"
"2011/08/22","15:36","1.224","-","1.33"
"2011/08/22","15:42","1.261","-","1.32"
"2011/08/22","15:48","1.3","-","1.39"
"2011/08/22","15:54","1.34","-","1.43"
"2011/08/22","16:00","1.382","-","1.46"
"2011/08/22","16:06","1.426","-","1.48"
"2011/08/22","16:12","1.47","-","1.56"
"2011/08/22","16:18","1.516","-","1.6"
"2011/08/22","16:24","1.563","-","1.61"
"2011/08/22","16:30","1.609","-","1.66"
"2011/08/22","16:36","1.657","-","1.72"
"2011/08/22","16:42","1.704","-","1.75"
"2011/08/22","16:48","1.751","-","1.79"
"2011/08/22","16:54","1.798","-","1.84"
"2011/08/22","17:00","1.844","-","1.91"
"2011/08/22","17:06","1.889","-","1.94"
"2011/08/22","17:12","1.934","-","1.97"
"2011/08/22","17:18","1.977","-","1.99"
"2011/08/22","17:24","2.02","-","2.05"
"2011/08/22","17:30","2.061","-","2.07"
"2011/08/22","17:36","2.101","-","2.13"
"2011/08/22","17:42","2.139","-","2.16"
"2011/08/22","17:48","2.176","-","2.23"
"2011/08/22","17:54","2.211","-","2.3"
"2011/08/22","18:00","2.246","-","2.37"
"2011/08/22","18:06","2.278","-","2.4"
"2011/08/22","18:12","2.31","-","2.44"
"2011/08/22","18:18","2.34","-","2.48"
"2011/08/22","18:24","2.369","-","2.5"
"2011/08/22","18:30","2.396","-","2.53"
"2011/08/22","18:36","2.423","-","2.59"
"2011/08/22","18:42","2.449","-","2.61"
"2011/08/22","18:48","2.474","-","2.64"
"2011/08/22","18:54","2.498","-","2.66"
"2011/08/22","19:00","2.521","-","2.72"
"2011/08/22","19:06","2.544","-","2.73"
"2011/08/22","19:12","2.566","-","2.77"
"2011/08/22","19:18","2.587","-","2.79"
"2011/08/22","19:24","2.608","-","2.8"
"2011/08/22","19:30","2.628","-","2.82"
"2011/08/22","19:36","2.647","-","2.84"
"2011/08/22","19:42","2.665","-","2.87"
"2011/08/22","19:48","2.683","-","2.89"
"2011/08/22","19:54","2.7","-","2.91"
"2011/08/22","20:00","2.715","-","2.91"
"2011/08/22","20:06","2.729","-","2.91"
"2011/08/22","20:12","2.742","-","2.92"
"2011/08/22","20:18","2.754","-","2.93"
"2011/08/22","20:24","2.764","-","2.92"
"2011/08/22","20:30","2.772","-","2.92"
"2011/08/22","20:36","2.778","-","2.93"
"2011/08/22","20:42","2.782","-","2.93"
"2011/08/22","20:48","2.783","-","2.95"
"2011/08/22","20:54","2.783","-","2.96"
"2011/08/22","21:00","2.78","-","2.96"
"2011/08/22","21:06","2.774","-","2.94"
"2011/08/22","21:12","2.766","-","2.92"
"2011/08/22","21:18","2.755","-","2.88"
"2011/08/22","21:24","2.742","-","2.86"
"2011/08/22","21:30","2.726","-","2.85"
"2011/08/22","21:36","2.708","-","2.84"
"2011/08/22","21:42","2.687","-","2.8"
"2011/08/22","21:48","2.664","-","2.8"
"2011/08/22","21:54","2.639","-","2.81"
"2011/08/22","22:00","2.611","-","2.81"
"2011/08/22","22:06","2.582","-","2.78"
"2011/08/22","22:12","2.551","-","2.78"
"2011/08/22","22:18","2.518","-","2.77"
"2011/08/22","22:24","2.483","-","2.74"
"2011/08/22","22:30","2.448","-","2.71"
"2011/08/22","22:36","2.411","-","2.7"
"2011/08/22","22:42","2.373","-","2.65"
"2011/08/22","22:48","2.335","-","2.63"
"2011/08/22","22:54","2.295","-","2.6"
"2011/08/22","23:00","2.256","-","2.56"
"2011/08/22","23:06","2.215","-","2.51"
"2011/08/22","23:12","2.175","-","2.48"
"2011/08/22","23:18","2.134","-","2.45"
"2011/08/22","23:24","2.092","-","2.42"
"2011/08/22","23:30","2.051","-","2.37"
"2011/08/22","23:36","2.01","-","2.34"
"2011/08/22","23:42","1.968","-","2.31"
"2011/08/22","23:48","1.926","-","2.27"
"2011/08/22","23:54","1.884","-","2.23"
"2011/08/23","00:00","1.842","-","2.18"
"2011/08/23","00:06","1.8","-","2.17"
"2011/08/23","00:12","1.757","-","2.14"
"2011/08/23","00:18","1.714","-","2.1"
"2011/08/23","00:24","1.671","-","2.05"
"2011/08/23","00:30","1.628","-","1.98"
"2011/08/23","00:36","1.585","-","1.93"
"2011/08/23","00:42","1.541","-","1.88"
"2011/08/23","00:48","1.497","-","1.85"
"2011/08/23","00:54","1.453","-","1.81"
"2011/08/23","01:00","1.409","-","1.76"
"2011/08/23","01:06","1.365","-","1.73"
"2011/08/23","01:12","1.321","-","1.68"
"2011/08/23","01:18","1.277","-","1.64"
"2011/08/23","01:24","1.233","-","1.55"
"2011/08/23","01:30","1.19","-","1.51"
"2011/08/23","01:36","1.148","-","1.44"
"2011/08/23","01:42","1.106","-","1.4"
"2011/08/23","01:48","1.065","-","1.34"
"2011/08/23","01:54","1.026","-","1.31"
"2011/08/23","02:00","0.988","-","1.31"
"2011/08/23","02:06","0.951","-","1.29"
"2011/08/23","02:12","0.916","-","1.27"
"2011/08/23","02:18","0.883","-","1.24"
"2011/08/23","02:24","0.853","-","1.21"
"2011/08/23","02:30","0.825","-","1.19"
"2011/08/23","02:36","0.799","-","1.17"
"2011/08/23","02:42","0.776","-","1.14"
"2011/08/23","02:48","0.756","-","1.15"
"2011/08/23","02:54","0.739","-","1.14"
"2011/08/23","03:00","0.725","-","1.1"
"2011/08/23","03:06","0.715","-","1.08"
"2011/08/23","03:12","0.707","-","1.06"
